               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10584,            0.033354,                   0,             0.41355,             0.30747,             0.26224,            0.083362,             0.06368,            0.032599,                   0,            0.070061,           0.0033266,           0.0033266
                   1,            0.073174,            0.034326,                   0,             0.43161,             0.37255,             0.31781,             0.09334,            0.059835,            0.032732,                   0,            0.039995,            0.006594,            0.006594
                   2,            0.064823,            0.031707,                   0,             0.63993,             0.44569,             0.48966,             0.17363,            0.055113,            0.031861,                   0,           0.0098631,           0.0097954,           0.0097954
                   3,            0.063253,              0.0306,                   0,             0.74214,             0.49948,             0.58923,               0.252,            0.050186,             0.03183,                   0,            0.009703,            0.009703,            0.009703
                   4,            0.058419,            0.029706,                   0,             0.80273,             0.57384,             0.67006,             0.31162,            0.046385,            0.028818,                   0,            0.009703,            0.009703,            0.009703
                   5,            0.056028,            0.028629,                   0,             0.70008,             0.50271,             0.57349,             0.20697,            0.051171,            0.030227,                   0,            0.009604,            0.009604,            0.009604
                   6,            0.053726,            0.027652,                   0,              0.8276,             0.62281,             0.72906,              0.3482,            0.043661,            0.027066,                   0,            0.009505,            0.009505,            0.009505
                   7,            0.052347,            0.027156,                   0,             0.65526,             0.44034,              0.4791,             0.14068,             0.05607,            0.029425,                   0,            0.009406,            0.009406,            0.009406
                   8,            0.051582,            0.027073,                   0,             0.80243,             0.60026,             0.69967,             0.32297,            0.043796,            0.027773,                   0,            0.009307,            0.009307,            0.009307
                   9,            0.050488,            0.026363,                   0,             0.82736,             0.65284,             0.75746,             0.37363,            0.042082,            0.025887,                   0,            0.009208,            0.009208,            0.009208
                  10,            0.049959,             0.02565,                   0,             0.83626,             0.63454,              0.7471,              0.3657,            0.041885,            0.026699,                   0,            0.009109,            0.009109,            0.009109
                  11,            0.048577,            0.025685,                   0,             0.75215,             0.54059,             0.60743,             0.22802,            0.050622,            0.028076,                   0,             0.00901,             0.00901,             0.00901
                  12,            0.048247,            0.025296,                   0,             0.72644,             0.52015,             0.58999,             0.19793,            0.051981,             0.02832,                   0,            0.008911,            0.008911,            0.008911
                  13,            0.047414,            0.025237,                   0,             0.80897,             0.61649,             0.71466,              0.3196,            0.044666,            0.027818,                   0,            0.008812,            0.008812,            0.008812
                  14,            0.047215,            0.025364,                   0,             0.81634,              0.5884,             0.68768,             0.27204,            0.047467,            0.026213,                   0,            0.008713,            0.008713,            0.008713
                  15,            0.047046,              0.0249,                   0,             0.80807,             0.62665,             0.71102,              0.2786,            0.047035,            0.026919,                   0,            0.008614,            0.008614,            0.008614
                  16,            0.045571,            0.024013,                   0,             0.80582,             0.62732,             0.72231,             0.30285,            0.045447,            0.027508,                   0,            0.008515,            0.008515,            0.008515
                  17,            0.045108,            0.024129,                   0,             0.88803,             0.66228,             0.78541,             0.43102,             0.03893,            0.025706,                   0,            0.008416,            0.008416,            0.008416
