               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,               0.105,            0.032985,                   0,             0.46201,             0.34639,              0.3078,             0.10386,            0.063136,            0.030871,                   0,            0.070061,           0.0033266,           0.0033266
                   1,            0.072445,            0.033604,                   0,              0.5523,             0.41817,             0.41473,             0.14098,            0.057705,            0.031914,                   0,            0.039995,            0.006594,            0.006594
                   2,            0.063668,            0.031135,                   0,             0.69727,             0.51615,             0.55691,             0.20136,            0.051848,            0.030348,                   0,           0.0098631,           0.0097954,           0.0097954
                   3,            0.062358,            0.030208,                   0,             0.61479,             0.43853,             0.45603,             0.15515,            0.055959,            0.030692,                   0,            0.009703,            0.009703,            0.009703
                   4,            0.057142,            0.028969,                   0,             0.72966,             0.49639,             0.57093,             0.19837,            0.053733,             0.02967,                   0,            0.009703,            0.009703,            0.009703
                   5,            0.055932,            0.028467,                   0,             0.82241,             0.60275,             0.69917,             0.35835,            0.044676,            0.027968,                   0,            0.009604,            0.009604,            0.009604
                   6,            0.052985,             0.02738,                   0,             0.80209,             0.61701,             0.71617,             0.32176,            0.044069,            0.026786,                   0,            0.009505,            0.009505,            0.009505
                   7,            0.051558,            0.026623,                   0,             0.72704,             0.52049,             0.58608,             0.19945,             0.05222,            0.028573,                   0,            0.009406,            0.009406,            0.009406
                   8,            0.050939,            0.026374,                   0,             0.76457,             0.56559,             0.64667,             0.25644,            0.047962,            0.027974,                   0,            0.009307,            0.009307,            0.009307
                   9,            0.049838,            0.025983,                   0,             0.84713,             0.65129,             0.76227,             0.40685,            0.040356,            0.026138,                   0,            0.009208,            0.009208,            0.009208
                  10,            0.048665,            0.025107,                   0,             0.83202,             0.63067,               0.744,             0.37233,            0.041872,            0.026899,                   0,            0.009109,            0.009109,            0.009109
                  11,            0.047364,            0.025052,                   0,             0.75295,             0.55722,             0.62328,             0.21669,            0.050282,            0.027087,                   0,             0.00901,             0.00901,             0.00901
                  12,            0.047734,            0.025032,                   0,             0.85355,             0.65515,             0.77078,              0.3867,            0.040355,            0.026064,                   0,            0.008911,            0.008911,            0.008911
                  13,             0.04628,            0.024448,                   0,             0.77443,             0.59108,             0.68593,             0.29009,            0.044966,            0.027871,                   0,            0.008812,            0.008812,            0.008812
                  14,             0.04665,            0.024931,                   0,             0.84297,              0.6496,             0.76111,             0.35073,             0.04158,            0.026112,                   0,            0.008713,            0.008713,            0.008713
                  15,            0.046236,             0.02443,                   0,             0.80949,             0.64502,             0.73708,             0.31265,            0.043971,            0.027053,                   0,            0.008614,            0.008614,            0.008614
                  16,            0.044772,            0.023618,                   0,             0.84672,             0.66419,             0.76671,             0.37772,            0.040029,            0.026733,                   0,            0.008515,            0.008515,            0.008515
                  17,            0.044575,            0.023745,                   0,             0.85926,             0.66237,             0.78162,             0.41611,            0.038949,            0.025653,                   0,            0.008416,            0.008416,            0.008416
                  18,             0.04475,            0.023516,                   0,             0.83621,             0.64639,             0.74179,             0.33984,            0.042363,            0.026592,                   0,            0.008317,            0.008317,            0.008317
                  19,            0.045132,            0.023744,                   0,             0.82661,             0.64768,             0.75177,             0.33675,             0.04192,            0.026523,                   0,            0.008218,            0.008218,            0.008218
                  20,            0.042889,            0.023349,                   0,             0.86326,             0.65528,              0.7689,             0.34887,            0.041058,             0.02668,                   0,            0.008119,            0.008119,            0.008119
                  21,            0.044336,            0.023454,                   0,             0.78813,             0.60271,             0.69512,             0.27202,            0.045261,            0.027013,                   0,             0.00802,             0.00802,             0.00802
                  22,            0.043097,             0.02309,                   0,             0.86847,             0.68621,             0.79821,             0.41766,            0.038284,            0.025346,                   0,            0.007921,            0.007921,            0.007921
                  23,            0.042365,            0.022748,                   0,             0.85197,             0.67229,             0.78241,             0.37571,             0.03945,            0.025977,                   0,            0.007822,            0.007822,            0.007822
                  24,            0.042681,            0.022789,                   0,             0.83851,             0.64772,             0.75172,              0.3283,            0.041915,            0.026975,                   0,            0.007723,            0.007723,            0.007723
                  25,            0.042999,            0.022798,                   0,              0.8639,             0.66211,             0.78321,             0.37992,            0.039378,            0.025777,                   0,            0.007624,            0.007624,            0.007624
                  26,             0.04161,            0.022543,                   0,             0.83784,             0.65452,             0.75822,             0.31218,            0.043657,            0.026294,                   0,            0.007525,            0.007525,            0.007525
                  27,            0.041577,            0.022314,                   0,             0.86547,             0.70136,              0.8132,                0.44,             0.03652,            0.025138,                   0,            0.007426,            0.007426,            0.007426
                  28,            0.040923,            0.022248,                   0,             0.85044,             0.66186,             0.76639,             0.33859,            0.041411,            0.025899,                   0,            0.007327,            0.007327,            0.007327
                  29,            0.040845,            0.021878,                   0,             0.88003,             0.67774,             0.79592,             0.36759,            0.039125,            0.025566,                   0,            0.007228,            0.007228,            0.007228
                  30,            0.041034,            0.021769,                   0,             0.88184,             0.68764,             0.80499,              0.3987,            0.038551,            0.025263,                   0,            0.007129,            0.007129,            0.007129
                  31,            0.039817,            0.021604,                   0,              0.8817,             0.69742,              0.8052,             0.42359,            0.037875,            0.025466,                   0,             0.00703,             0.00703,             0.00703
                  32,            0.041019,            0.022133,                   0,             0.85916,             0.69278,             0.78482,             0.35052,            0.041158,            0.025628,                   0,            0.006931,            0.006931,            0.006931
                  33,            0.039786,            0.021655,                   0,             0.85542,             0.66868,             0.77275,             0.34093,            0.041472,             0.02597,                   0,            0.006832,            0.006832,            0.006832
                  34,            0.040447,            0.021796,                   0,             0.89322,             0.69124,             0.80668,             0.41816,            0.036642,            0.025783,                   0,            0.006733,            0.006733,            0.006733
