               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10672,            0.033391,                   0,             0.37475,             0.30309,             0.24251,            0.072351,            0.065848,             0.03191,                   0,            0.070061,           0.0033266,           0.0033266
                   1,            0.075083,            0.034977,                   0,              0.4973,             0.40258,             0.37938,             0.11821,            0.059512,            0.031638,                   0,            0.039995,            0.006594,            0.006594
                   2,            0.066156,            0.032271,                   0,             0.47906,             0.38728,             0.34964,            0.085857,            0.059627,            0.031716,                   0,           0.0098631,           0.0097954,           0.0097954
                   3,            0.064498,            0.031248,                   0,             0.73949,             0.52036,             0.59494,              0.2796,            0.053307,            0.032265,                   0,            0.009703,            0.009703,            0.009703
                   4,            0.059777,            0.030164,                   0,             0.75164,             0.53363,             0.62134,             0.27833,            0.048859,            0.029594,                   0,            0.009703,            0.009703,            0.009703
                   5,            0.057377,            0.029197,                   0,             0.80301,             0.56753,             0.66943,             0.32678,            0.047187,            0.028997,                   0,            0.009604,            0.009604,            0.009604
                   6,            0.055187,            0.028445,                   0,              0.7949,             0.57216,             0.68107,             0.30809,             0.04715,            0.027494,                   0,            0.009505,            0.009505,            0.009505
                   7,            0.053683,            0.027822,                   0,             0.82592,             0.62058,              0.7146,             0.37107,            0.044265,            0.026504,                   0,            0.009406,            0.009406,            0.009406
                   8,            0.052736,            0.027378,                   0,             0.76382,             0.57526,             0.66821,             0.28265,             0.04766,            0.027727,                   0,            0.009307,            0.009307,            0.009307
                   9,            0.052065,            0.027128,                   0,             0.80805,             0.62062,             0.73484,             0.37222,            0.042393,            0.026518,                   0,            0.009208,            0.009208,            0.009208
                  10,            0.051169,            0.026235,                   0,              0.8274,             0.63012,              0.7478,             0.34699,            0.044283,             0.02698,                   0,            0.009109,            0.009109,            0.009109
                  11,            0.049164,            0.025824,                   0,             0.80488,              0.6183,             0.71804,             0.35157,            0.043708,            0.026932,                   0,             0.00901,             0.00901,             0.00901
                  12,            0.049875,            0.025938,                   0,             0.79811,             0.60317,             0.69825,              0.2763,            0.047173,            0.026683,                   0,            0.008911,            0.008911,            0.008911
                  13,            0.048037,            0.025543,                   0,             0.81003,              0.6116,             0.71774,             0.33404,            0.044148,            0.027866,                   0,            0.008812,            0.008812,            0.008812
                  14,            0.048411,            0.025789,                   0,             0.80285,              0.5951,             0.69677,             0.27644,            0.046167,            0.027553,                   0,            0.008713,            0.008713,            0.008713
                  15,            0.047914,            0.025211,                   0,             0.80249,             0.60473,             0.70839,             0.25401,            0.048198,            0.026845,                   0,            0.008614,            0.008614,            0.008614
                  16,            0.047031,            0.024737,                   0,             0.82971,             0.62719,             0.73695,             0.31783,            0.045071,            0.026153,                   0,            0.008515,            0.008515,            0.008515
                  17,            0.047109,            0.025332,                   0,             0.79845,             0.59883,             0.69375,             0.25392,            0.047256,            0.027354,                   0,            0.008416,            0.008416,            0.008416
                  18,            0.047044,            0.024626,                   0,             0.84652,             0.60593,             0.72323,             0.36248,            0.042793,            0.028226,                   0,            0.008317,            0.008317,            0.008317
                  19,            0.048077,            0.025204,                   0,             0.84806,             0.64987,             0.77275,             0.41189,            0.040136,            0.025667,                   0,            0.008218,            0.008218,            0.008218
                  20,            0.045918,            0.024851,                   0,              0.8158,             0.66948,             0.76945,             0.34418,             0.04201,            0.025681,                   0,            0.008119,            0.008119,            0.008119
                  21,            0.046299,            0.024594,                   0,             0.83754,             0.67899,              0.7896,             0.39936,            0.040683,            0.025202,                   0,             0.00802,             0.00802,             0.00802
                  22,             0.04496,            0.023902,                   0,             0.83249,             0.67397,              0.7855,             0.37908,            0.040675,            0.025645,                   0,            0.007921,            0.007921,            0.007921
                  23,            0.044138,            0.023797,                   0,             0.84055,             0.67036,             0.78107,             0.38086,            0.040686,            0.025248,                   0,            0.007822,            0.007822,            0.007822
                  24,            0.044328,            0.023418,                   0,             0.85023,             0.66946,             0.78585,             0.38643,            0.039803,            0.025781,                   0,            0.007723,            0.007723,            0.007723
                  25,            0.044062,             0.02338,                   0,             0.84095,              0.6893,             0.79454,             0.39469,            0.040337,            0.025461,                   0,            0.007624,            0.007624,            0.007624
                  26,            0.042781,            0.023294,                   0,              0.8408,             0.65813,             0.76942,              0.3456,            0.042245,            0.026757,                   0,            0.007525,            0.007525,            0.007525
                  27,            0.043258,            0.023206,                   0,             0.84777,             0.69394,              0.7986,             0.41845,            0.038911,            0.024937,                   0,            0.007426,            0.007426,            0.007426
                  28,            0.042813,            0.023177,                   0,             0.85303,              0.6808,             0.79346,             0.35773,            0.041238,             0.02534,                   0,            0.007327,            0.007327,            0.007327
                  29,            0.042973,            0.022959,                   0,             0.85313,             0.69021,              0.7966,             0.37957,            0.040167,            0.025887,                   0,            0.007228,            0.007228,            0.007228
                  30,            0.043328,             0.02304,                   0,             0.83542,             0.64955,             0.76304,             0.31413,            0.043552,            0.026709,                   0,            0.007129,            0.007129,            0.007129
                  31,            0.041651,            0.022737,                   0,             0.83035,             0.62885,             0.73634,             0.27837,            0.046422,            0.027399,                   0,             0.00703,             0.00703,             0.00703
                  32,            0.042674,            0.022873,                   0,             0.83128,             0.65039,             0.75691,             0.29767,            0.044876,            0.026822,                   0,            0.006931,            0.006931,            0.006931
                  33,            0.041346,            0.022486,                   0,             0.85232,              0.6887,              0.7954,             0.35733,            0.040853,            0.025865,                   0,            0.006832,            0.006832,            0.006832
                  34,            0.042122,            0.022664,                   0,             0.83745,              0.6566,             0.76452,             0.31994,            0.042458,            0.027091,                   0,            0.006733,            0.006733,            0.006733
                  35,            0.041336,             0.02244,                   0,             0.84613,             0.67602,             0.78722,             0.36772,            0.040139,            0.025988,                   0,            0.006634,            0.006634,            0.006634
                  36,            0.041417,              0.0224,                   0,             0.85695,              0.6716,             0.78423,             0.34221,            0.042456,            0.026607,                   0,            0.006535,            0.006535,            0.006535
                  37,            0.040155,            0.021919,                   0,             0.86261,              0.6845,             0.79869,             0.37607,             0.04036,            0.025677,                   0,            0.006436,            0.006436,            0.006436
                  38,            0.039792,            0.021799,                   0,             0.86603,             0.69961,             0.81499,             0.42674,            0.038181,            0.024881,                   0,            0.006337,            0.006337,            0.006337
                  39,            0.040429,            0.021754,                   0,             0.86517,             0.68963,             0.80851,             0.39905,            0.039665,            0.025261,                   0,            0.006238,            0.006238,            0.006238
                  40,            0.039972,            0.021642,                   0,             0.87472,             0.69369,             0.81645,             0.39934,            0.039069,            0.024952,                   0,            0.006139,            0.006139,            0.006139
                  41,             0.04045,            0.022066,                   0,             0.86022,             0.68123,             0.79783,             0.36778,            0.040701,            0.026007,                   0,             0.00604,             0.00604,             0.00604
                  42,            0.039586,            0.021797,                   0,             0.85015,             0.68797,             0.79314,             0.35707,            0.040772,            0.025863,                   0,            0.005941,            0.005941,            0.005941
                  43,            0.039322,            0.021731,                   0,             0.87938,             0.68492,             0.80085,             0.38143,            0.040481,            0.025811,                   0,            0.005842,            0.005842,            0.005842
                  44,             0.03951,            0.021588,                   0,             0.86706,             0.69188,             0.80826,             0.40161,             0.03943,            0.025255,                   0,            0.005743,            0.005743,            0.005743
                  45,            0.040141,             0.02166,                   0,             0.86272,             0.70702,             0.81717,             0.46666,            0.037576,             0.02448,                   0,            0.005644,            0.005644,            0.005644
                  46,            0.039911,            0.021989,                   0,             0.87393,             0.70425,             0.81899,             0.41734,            0.037429,            0.025059,                   0,            0.005545,            0.005545,            0.005545
                  47,            0.040015,            0.021492,                   0,             0.86473,             0.67468,             0.78883,             0.33769,            0.042022,            0.026214,                   0,            0.005446,            0.005446,            0.005446
                  48,              0.0395,             0.02156,                   0,               0.855,              0.6866,             0.79514,             0.36727,            0.041182,            0.025788,                   0,            0.005347,            0.005347,            0.005347
                  49,            0.039385,            0.021412,                   0,             0.87496,             0.69795,             0.80784,             0.37768,            0.039785,            0.025727,                   0,            0.005248,            0.005248,            0.005248
                  50,            0.038355,            0.020988,                   0,             0.88287,             0.69948,             0.81352,             0.38138,            0.039528,            0.025728,                   0,            0.005149,            0.005149,            0.005149
