               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10442,            0.032398,                   0,             0.50401,             0.36221,             0.34026,               0.117,            0.060078,            0.032236,                   0,            0.070061,           0.0033266,           0.0033266
                   1,            0.071736,            0.033002,                   0,             0.51262,             0.39137,             0.38071,             0.11342,            0.056402,            0.030269,                   0,            0.039995,            0.006594,            0.006594
                   2,            0.063321,            0.030476,                   0,             0.60927,              0.4384,              0.4675,             0.14905,            0.056814,             0.02979,                   0,           0.0098631,           0.0097954,           0.0097954
                   3,            0.062057,            0.029407,                   0,             0.80476,             0.57977,             0.67798,             0.31784,            0.049106,            0.027816,                   0,            0.009703,            0.009703,            0.009703
                   4,            0.057016,            0.028502,                   0,             0.82136,             0.59304,             0.69554,             0.36349,            0.045385,            0.029127,                   0,            0.009703,            0.009703,            0.009703
                   5,            0.054241,            0.027411,                   0,             0.80743,             0.58544,             0.68264,             0.31828,            0.046883,            0.028847,                   0,            0.009604,            0.009604,            0.009604
                   6,            0.051998,            0.026507,                   0,             0.72425,             0.52925,              0.5983,             0.22474,            0.050643,            0.028172,                   0,            0.009505,            0.009505,            0.009505
                   7,             0.05052,            0.026047,                   0,             0.53564,             0.33193,             0.33018,            0.086066,            0.061487,            0.028862,                   0,            0.009406,            0.009406,            0.009406
                   8,            0.050468,            0.026241,                   0,             0.80183,             0.57928,             0.67851,             0.33066,             0.04658,            0.028047,                   0,            0.009307,            0.009307,            0.009307
                   9,            0.049746,            0.025706,                   0,              0.8172,             0.62681,             0.73159,             0.33886,            0.044169,            0.026068,                   0,            0.009208,            0.009208,            0.009208
                  10,            0.048193,            0.024748,                   0,             0.78814,             0.58119,             0.67264,             0.28655,            0.047189,            0.027631,                   0,            0.009109,            0.009109,            0.009109
                  11,            0.046911,            0.024453,                   0,              0.8419,             0.63063,             0.73315,              0.3582,            0.043387,            0.026552,                   0,             0.00901,             0.00901,             0.00901
                  12,              0.0467,            0.024312,                   0,             0.72638,             0.53334,             0.58786,              0.1948,            0.052132,            0.027009,                   0,            0.008911,            0.008911,            0.008911
                  13,            0.045469,            0.024065,                   0,             0.86656,             0.65274,             0.77793,              0.4261,            0.038304,            0.025273,                   0,            0.008812,            0.008812,            0.008812
                  14,            0.045765,            0.024472,                   0,             0.71437,              0.5366,             0.59157,              0.2086,            0.050623,            0.027237,                   0,            0.008713,            0.008713,            0.008713
                  15,            0.045373,            0.023822,                   0,             0.82006,             0.64613,             0.74015,              0.3083,            0.045352,             0.02545,                   0,            0.008614,            0.008614,            0.008614
                  16,            0.043988,             0.02313,                   0,             0.80437,             0.60348,             0.69442,             0.27029,            0.047153,            0.027387,                   0,            0.008515,            0.008515,            0.008515
                  17,            0.043415,            0.023114,                   0,             0.87739,             0.67316,             0.79418,             0.44374,            0.038425,            0.025815,                   0,            0.008416,            0.008416,            0.008416
                  18,            0.043497,            0.022819,                   0,             0.82476,             0.65425,             0.74818,             0.33928,            0.043239,             0.02647,                   0,            0.008317,            0.008317,            0.008317
                  19,            0.044321,            0.023356,                   0,             0.85315,             0.66555,             0.77883,             0.42733,              0.0381,            0.025723,                   0,            0.008218,            0.008218,            0.008218
                  20,            0.042402,            0.022882,                   0,             0.87486,             0.68595,             0.79965,             0.42269,            0.037802,            0.024822,                   0,            0.008119,            0.008119,            0.008119
                  21,            0.042869,            0.022589,                   0,             0.80822,             0.64627,             0.73163,             0.29268,            0.044509,            0.026416,                   0,             0.00802,             0.00802,             0.00802
                  22,            0.041896,            0.022327,                   0,             0.86609,             0.69613,             0.79674,             0.43898,            0.038107,            0.025217,                   0,            0.007921,            0.007921,            0.007921
                  23,            0.041486,            0.022229,                   0,             0.86498,              0.7009,             0.80232,             0.38285,            0.039673,            0.025186,                   0,            0.007822,            0.007822,            0.007822
                  24,            0.041953,            0.022056,                   0,             0.87375,             0.68157,              0.7949,             0.40011,            0.038766,            0.025312,                   0,            0.007723,            0.007723,            0.007723
                  25,            0.041814,            0.022263,                   0,             0.84608,             0.67862,             0.78553,             0.38805,            0.039399,             0.02546,                   0,            0.007624,            0.007624,            0.007624
                  26,            0.041107,            0.022179,                   0,             0.88047,             0.68537,              0.7983,             0.45693,            0.036521,            0.025526,                   0,            0.007525,            0.007525,            0.007525
                  27,            0.040768,            0.021896,                   0,             0.85947,              0.6808,             0.78828,             0.36134,            0.040917,            0.025631,                   0,            0.007426,            0.007426,            0.007426
                  28,            0.039733,            0.021653,                   0,             0.84691,              0.6701,             0.77553,             0.34027,             0.04218,            0.025863,                   0,            0.007327,            0.007327,            0.007327
                  29,            0.039917,            0.021229,                   0,              0.8575,             0.68557,             0.79252,              0.3855,             0.04039,            0.025622,                   0,            0.007228,            0.007228,            0.007228
                  30,            0.040433,            0.021318,                   0,             0.86024,             0.66868,             0.77348,             0.34017,            0.042492,            0.026297,                   0,            0.007129,            0.007129,            0.007129
                  31,            0.039484,            0.021448,                   0,             0.86433,             0.68385,             0.79309,             0.39046,             0.04045,            0.026201,                   0,             0.00703,             0.00703,             0.00703
                  32,            0.040225,            0.021346,                   0,             0.87272,             0.70503,             0.80823,             0.40318,            0.038515,            0.024962,                   0,            0.006931,            0.006931,            0.006931
                  33,            0.039033,            0.021127,                   0,             0.83741,             0.65812,             0.75664,             0.30418,            0.043023,             0.02612,                   0,            0.006832,            0.006832,            0.006832
                  34,            0.039492,            0.021425,                   0,             0.86162,             0.68028,              0.7838,                0.37,            0.040472,            0.026562,                   0,            0.006733,            0.006733,            0.006733
                  35,            0.038138,            0.020714,                   0,             0.88258,              0.7125,               0.819,              0.4493,            0.036077,            0.024645,                   0,            0.006634,            0.006634,            0.006634
                  36,            0.038477,            0.020762,                   0,             0.87197,             0.68441,             0.79587,             0.39895,            0.039296,            0.026068,                   0,            0.006535,            0.006535,            0.006535
                  37,            0.037684,            0.020573,                   0,             0.86936,             0.70574,             0.80768,             0.41645,            0.037863,            0.025187,                   0,            0.006436,            0.006436,            0.006436
                  38,            0.037542,            0.020502,                   0,             0.87868,             0.71216,             0.81096,             0.40974,             0.03816,            0.025079,                   0,            0.006337,            0.006337,            0.006337
                  39,            0.038261,            0.020454,                   0,             0.87169,             0.70773,             0.81087,             0.40915,            0.037953,            0.024953,                   0,            0.006238,            0.006238,            0.006238
                  40,            0.037056,            0.020156,                   0,             0.89532,             0.72411,             0.83761,             0.49652,            0.034289,            0.023685,                   0,            0.006139,            0.006139,            0.006139
                  41,            0.037559,            0.020203,                   0,             0.87761,              0.6933,             0.80445,             0.39736,             0.03849,            0.025578,                   0,             0.00604,             0.00604,             0.00604
                  42,            0.036617,            0.019967,                   0,             0.88009,             0.70747,              0.8117,             0.38944,            0.038726,            0.025284,                   0,            0.005941,            0.005941,            0.005941
                  43,            0.036382,            0.020047,                   0,             0.88065,             0.70171,              0.8099,             0.41925,             0.03747,            0.026104,                   0,            0.005842,            0.005842,            0.005842
                  44,            0.036941,            0.020307,                   0,             0.90308,             0.71379,             0.82831,              0.4797,            0.035015,            0.024758,                   0,            0.005743,            0.005743,            0.005743
                  45,            0.037163,            0.020041,                   0,             0.89441,             0.71585,              0.8234,             0.43205,            0.036649,            0.025006,                   0,            0.005644,            0.005644,            0.005644
                  46,            0.036661,            0.019998,                   0,             0.89327,              0.7143,             0.82046,             0.45242,            0.036191,             0.02501,                   0,            0.005545,            0.005545,            0.005545
                  47,             0.03661,            0.019636,                   0,             0.87842,              0.7095,             0.81318,             0.40958,            0.038275,            0.025484,                   0,            0.005446,            0.005446,            0.005446
                  48,             0.03584,            0.019524,                   0,             0.87785,             0.72145,             0.82209,             0.43256,            0.037371,            0.025158,                   0,            0.005347,            0.005347,            0.005347
                  49,            0.036229,            0.019516,                   0,             0.88617,             0.71932,             0.82047,             0.41967,             0.03728,            0.025142,                   0,            0.005248,            0.005248,            0.005248
                  50,            0.035767,            0.019525,                   0,             0.88897,             0.73247,             0.83296,             0.44647,            0.036044,            0.024956,                   0,            0.005149,            0.005149,            0.005149
                  51,            0.036322,            0.019738,                   0,             0.88047,             0.73544,             0.83213,             0.44195,            0.035891,            0.024651,                   0,             0.00505,             0.00505,             0.00505
