               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10642,            0.033444,                   0,              0.3984,             0.35039,             0.28025,            0.092372,            0.063099,            0.032798,                   0,            0.070061,           0.0033266,           0.0033266
                   1,            0.075247,            0.035137,                   0,             0.47723,              0.4018,             0.36143,             0.11176,            0.056706,            0.032291,                   0,            0.039995,            0.006594,            0.006594
                   2,            0.067298,            0.033069,                   0,             0.49645,             0.41095,             0.37028,             0.10602,            0.059415,            0.033015,                   0,           0.0098631,           0.0097954,           0.0097954
                   3,            0.066027,            0.032094,                   0,             0.63313,             0.45606,             0.50009,             0.16844,            0.054864,            0.031261,                   0,            0.009703,            0.009703,            0.009703
                   4,             0.06059,            0.030534,                   0,             0.63971,             0.48131,             0.51449,             0.16611,            0.054764,            0.029372,                   0,            0.009703,            0.009703,            0.009703
                   5,            0.058773,            0.029729,                   0,             0.73341,             0.56014,             0.62038,             0.25121,            0.050212,            0.030097,                   0,            0.009604,            0.009604,            0.009604
                   6,            0.056237,            0.028908,                   0,             0.76437,              0.5817,             0.65613,             0.29564,            0.047016,            0.028765,                   0,            0.009505,            0.009505,            0.009505
                   7,            0.054869,            0.028222,                   0,             0.76343,                0.55,             0.63271,             0.25388,            0.047595,            0.029273,                   0,            0.009406,            0.009406,            0.009406
                   8,            0.054561,             0.02824,                   0,              0.7807,             0.59409,             0.68476,             0.29514,            0.046805,            0.027946,                   0,            0.009307,            0.009307,            0.009307
                   9,            0.053224,            0.027829,                   0,             0.80941,             0.61392,             0.71563,             0.34882,            0.044291,            0.027033,                   0,            0.009208,            0.009208,            0.009208
                  10,            0.052777,            0.027045,                   0,             0.75714,             0.60284,             0.68569,             0.27838,            0.046957,            0.027901,                   0,            0.009109,            0.009109,            0.009109
                  11,             0.05121,              0.0269,                   0,             0.81093,             0.63711,             0.73497,             0.37502,            0.041464,            0.026666,                   0,             0.00901,             0.00901,             0.00901
                  12,             0.05086,            0.026489,                   0,              0.7844,             0.59098,             0.68878,             0.28235,            0.047236,            0.027095,                   0,            0.008911,            0.008911,            0.008911
                  13,            0.049632,            0.026471,                   0,             0.81715,             0.61795,              0.7252,             0.35745,            0.042676,            0.027359,                   0,            0.008812,            0.008812,            0.008812
                  14,            0.049425,            0.026541,                   0,             0.75935,             0.58827,             0.68475,             0.28439,            0.045286,            0.027569,                   0,            0.008713,            0.008713,            0.008713
                  15,            0.049654,            0.025991,                   0,             0.80097,             0.63724,             0.73765,             0.32258,            0.044061,            0.026373,                   0,            0.008614,            0.008614,            0.008614
                  16,              0.0482,            0.025189,                   0,             0.81748,             0.64369,             0.75215,             0.35077,            0.043251,            0.026487,                   0,            0.008515,            0.008515,            0.008515
                  17,            0.047835,            0.025459,                   0,             0.81399,             0.64034,             0.73838,             0.36609,            0.043388,             0.02715,                   0,            0.008416,            0.008416,            0.008416
                  18,            0.048121,            0.025053,                   0,             0.79404,             0.63445,             0.73444,             0.31772,            0.043681,            0.027312,                   0,            0.008317,            0.008317,            0.008317
                  19,            0.048345,             0.02535,                   0,             0.80702,             0.63699,             0.73172,             0.29825,            0.045578,            0.026459,                   0,            0.008218,            0.008218,            0.008218
                  20,            0.046751,            0.025064,                   0,             0.80422,             0.63311,             0.73264,             0.32765,            0.043428,            0.026549,                   0,            0.008119,            0.008119,            0.008119
                  21,            0.047181,            0.024732,                   0,             0.81007,             0.65838,              0.7516,             0.34055,             0.04172,            0.025962,                   0,             0.00802,             0.00802,             0.00802
                  22,            0.046249,            0.024554,                   0,             0.81931,             0.66556,             0.76355,              0.3411,            0.043144,            0.025939,                   0,            0.007921,            0.007921,            0.007921
                  23,            0.045376,            0.024331,                   0,             0.81875,             0.67644,             0.76326,             0.35763,            0.041081,             0.02607,                   0,            0.007822,            0.007822,            0.007822
                  24,            0.045297,            0.023896,                   0,             0.82073,             0.65232,             0.74714,             0.33958,            0.043221,            0.026443,                   0,            0.007723,            0.007723,            0.007723
                  25,            0.045264,            0.023985,                   0,             0.81783,             0.67474,             0.76597,             0.37022,            0.041171,             0.02643,                   0,            0.007624,            0.007624,            0.007624
                  26,            0.044076,            0.023705,                   0,             0.81271,             0.64417,             0.73471,             0.31728,            0.044015,            0.027312,                   0,            0.007525,            0.007525,            0.007525
                  27,            0.044085,            0.023405,                   0,             0.83487,             0.65934,             0.77436,             0.39762,            0.040422,            0.026334,                   0,            0.007426,            0.007426,            0.007426
                  28,             0.04397,            0.023494,                   0,             0.82818,             0.65799,             0.75704,             0.33787,            0.043345,            0.026484,                   0,            0.007327,            0.007327,            0.007327
                  29,            0.043863,            0.023357,                   0,             0.83731,              0.6826,             0.79073,             0.38654,            0.040127,            0.025343,                   0,            0.007228,            0.007228,            0.007228
                  30,            0.043823,            0.022955,                   0,             0.78247,             0.63222,             0.72499,             0.30018,            0.044157,            0.027271,                   0,            0.007129,            0.007129,            0.007129
                  31,            0.042591,            0.023108,                   0,             0.78599,              0.6424,             0.72524,             0.27966,            0.045928,             0.02752,                   0,             0.00703,             0.00703,             0.00703
                  32,            0.044309,              0.0233,                   0,             0.82586,             0.68204,             0.77979,             0.38823,            0.040103,            0.025506,                   0,            0.006931,            0.006931,            0.006931
                  33,            0.042089,            0.022702,                   0,              0.8337,             0.68287,             0.78876,             0.38711,            0.040391,            0.025474,                   0,            0.006832,            0.006832,            0.006832
                  34,            0.042657,             0.02286,                   0,             0.82971,             0.64871,             0.74835,             0.32838,            0.043247,            0.027641,                   0,            0.006733,            0.006733,            0.006733
                  35,            0.042194,            0.022736,                   0,              0.8293,             0.68969,             0.79264,             0.40141,             0.03928,            0.025431,                   0,            0.006634,            0.006634,            0.006634
                  36,            0.042013,            0.022634,                   0,             0.83781,             0.68231,             0.78597,             0.40045,            0.040034,            0.025878,                   0,            0.006535,            0.006535,            0.006535
                  37,            0.041167,            0.022274,                   0,             0.84024,             0.69671,             0.78701,              0.3785,             0.04042,            0.025891,                   0,            0.006436,            0.006436,            0.006436
                  38,            0.040548,             0.02214,                   0,             0.84393,             0.69858,             0.80569,             0.40729,            0.039117,            0.025064,                   0,            0.006337,            0.006337,            0.006337
                  39,            0.041569,            0.022134,                   0,             0.82609,             0.68314,             0.78115,             0.37733,            0.040781,            0.025883,                   0,            0.006238,            0.006238,            0.006238
                  40,            0.040736,            0.021902,                   0,             0.84114,             0.70618,             0.79882,             0.41659,            0.038885,            0.025252,                   0,            0.006139,            0.006139,            0.006139
                  41,            0.041245,            0.022209,                   0,             0.83228,             0.69254,             0.79285,             0.38391,            0.040495,            0.025682,                   0,             0.00604,             0.00604,             0.00604
                  42,            0.040459,            0.022023,                   0,             0.81029,             0.68776,             0.77707,             0.34551,             0.04236,            0.026084,                   0,            0.005941,            0.005941,            0.005941
                  43,            0.040525,            0.022224,                   0,              0.8372,             0.69915,             0.79682,             0.37708,            0.040803,            0.025393,                   0,            0.005842,            0.005842,            0.005842
                  44,            0.040277,            0.021998,                   0,             0.83065,             0.69527,             0.78928,             0.37776,            0.040131,            0.025502,                   0,            0.005743,            0.005743,            0.005743
                  45,            0.040253,            0.021629,                   0,             0.83956,             0.69768,             0.79796,             0.40332,            0.038912,            0.025295,                   0,            0.005644,            0.005644,            0.005644
                  46,            0.040203,            0.021767,                   0,             0.82864,             0.69021,             0.79032,              0.3927,            0.039373,            0.025873,                   0,            0.005545,            0.005545,            0.005545
                  47,            0.039837,            0.021364,                   0,             0.82997,             0.70812,              0.7954,             0.39196,            0.039187,            0.025857,                   0,            0.005446,            0.005446,            0.005446
                  48,            0.039053,            0.021289,                   0,             0.82799,             0.71121,              0.7991,             0.40331,            0.039797,            0.025853,                   0,            0.005347,            0.005347,            0.005347
                  49,            0.039717,            0.021324,                   0,             0.83587,             0.69278,               0.787,             0.35919,            0.042281,            0.026702,                   0,            0.005248,            0.005248,            0.005248
                  50,            0.039333,            0.021462,                   0,              0.8479,             0.68749,              0.7886,             0.38456,            0.040063,            0.026375,                   0,            0.005149,            0.005149,            0.005149
                  51,            0.039445,             0.02135,                   0,             0.84024,             0.70722,              0.8013,             0.40438,            0.039269,            0.025621,                   0,             0.00505,             0.00505,             0.00505
                  52,            0.038815,            0.021109,                   0,             0.83446,             0.70786,             0.79281,             0.37631,            0.040401,            0.026633,                   0,            0.004951,            0.004951,            0.004951
                  53,            0.038203,            0.021073,                   0,             0.83726,              0.6991,             0.79056,             0.38126,            0.040921,              0.0264,                   0,            0.004852,            0.004852,            0.004852
                  54,            0.038433,            0.020883,                   0,             0.85454,             0.69423,             0.79659,             0.38562,             0.03956,            0.026241,                   0,            0.004753,            0.004753,            0.004753
                  55,            0.038295,            0.020748,                   0,             0.86032,             0.70206,             0.80604,             0.40701,            0.038432,            0.025931,                   0,            0.004654,            0.004654,            0.004654
                  56,            0.038448,            0.020873,                   0,             0.85951,             0.71032,             0.80949,             0.41252,            0.038224,            0.025592,                   0,            0.004555,            0.004555,            0.004555
                  57,            0.037212,            0.020561,                   0,             0.85648,             0.70291,             0.80481,             0.38969,            0.039959,            0.025983,                   0,            0.004456,            0.004456,            0.004456
                  58,            0.037882,            0.020768,                   0,             0.84777,             0.70838,             0.80547,             0.40582,            0.038602,            0.025832,                   0,            0.004357,            0.004357,            0.004357
                  59,            0.037772,            0.020654,                   0,             0.85014,             0.71869,             0.81432,             0.42057,            0.038219,            0.025346,                   0,            0.004258,            0.004258,            0.004258
                  60,            0.037374,            0.020261,                   0,             0.85375,              0.7067,              0.8061,             0.40941,             0.03903,            0.026021,                   0,            0.004159,            0.004159,            0.004159
                  61,             0.03679,            0.020281,                   0,              0.8481,             0.70477,              0.8026,             0.40327,            0.039423,            0.026249,                   0,             0.00406,             0.00406,             0.00406
                  62,            0.036951,            0.019958,                   0,             0.86031,             0.70875,             0.80479,             0.39802,            0.039353,            0.026418,                   0,            0.003961,            0.003961,            0.003961
                  63,            0.036794,            0.020192,                   0,             0.85087,             0.71906,             0.80807,             0.41003,            0.038468,            0.025895,                   0,            0.003862,            0.003862,            0.003862
                  64,            0.036773,            0.020017,                   0,             0.85233,             0.72146,             0.81052,             0.41337,            0.038075,            0.026028,                   0,            0.003763,            0.003763,            0.003763
                  65,            0.035859,            0.019702,                   0,             0.84779,             0.71847,             0.80662,              0.4117,            0.038682,            0.026436,                   0,            0.003664,            0.003664,            0.003664
                  66,            0.036654,            0.019949,                   0,             0.85514,             0.70889,             0.80784,             0.40382,            0.039204,            0.026166,                   0,            0.003565,            0.003565,            0.003565
                  67,             0.03617,            0.019683,                   0,             0.85057,             0.71663,             0.80617,             0.39882,            0.039526,            0.026454,                   0,            0.003466,            0.003466,            0.003466
                  68,            0.035822,            0.019856,                   0,              0.8518,             0.71224,             0.80349,             0.40392,            0.039538,            0.026402,                   0,            0.003367,            0.003367,            0.003367
                  69,            0.035429,            0.019527,                   0,             0.85296,             0.71585,             0.80408,             0.40448,            0.039046,            0.026529,                   0,            0.003268,            0.003268,            0.003268
                  70,             0.03593,            0.019754,                   0,             0.85087,             0.71538,             0.80407,             0.40207,            0.038843,            0.026625,                   0,            0.003169,            0.003169,            0.003169
                  71,            0.035409,            0.019445,                   0,             0.84914,             0.71736,              0.8066,             0.40893,            0.038591,            0.026358,                   0,             0.00307,             0.00307,             0.00307
                  72,            0.035202,            0.019612,                   0,             0.86755,             0.70736,             0.80495,             0.41616,            0.038655,            0.026512,                   0,            0.002971,            0.002971,            0.002971
                  73,            0.035602,            0.019535,                   0,             0.86581,             0.70606,             0.80417,             0.40622,            0.039555,            0.026712,                   0,            0.002872,            0.002872,            0.002872
                  74,            0.035215,            0.019164,                   0,             0.85646,             0.70969,             0.80621,             0.40882,            0.039176,            0.026443,                   0,            0.002773,            0.002773,            0.002773
                  75,              0.0349,            0.019615,                   0,             0.86319,             0.70503,             0.80742,             0.41121,            0.039063,            0.026166,                   0,            0.002674,            0.002674,            0.002674
                  76,            0.034242,             0.01886,                   0,             0.86446,             0.70696,             0.81237,             0.42087,            0.038857,            0.026014,                   0,            0.002575,            0.002575,            0.002575
                  77,            0.033865,            0.019003,                   0,             0.86275,              0.7039,             0.80997,             0.41145,            0.039392,            0.026448,                   0,            0.002476,            0.002476,            0.002476
                  78,            0.033983,            0.019171,                   0,             0.86743,             0.70153,             0.80594,             0.41366,            0.039591,            0.026709,                   0,            0.002377,            0.002377,            0.002377
                  79,            0.034056,             0.01892,                   0,             0.85757,             0.71121,             0.80518,             0.40925,            0.039809,             0.02686,                   0,            0.002278,            0.002278,            0.002278
                  80,            0.033924,             0.01896,                   0,             0.86037,             0.71585,             0.80975,             0.41589,            0.039254,            0.026661,                   0,            0.002179,            0.002179,            0.002179
                  81,            0.033316,            0.018728,                   0,             0.86067,             0.71018,             0.80841,             0.41186,            0.039348,            0.026784,                   0,             0.00208,             0.00208,             0.00208
                  82,            0.033666,            0.018699,                   0,             0.86159,             0.71071,             0.80889,             0.41449,            0.039141,            0.026903,                   0,            0.001981,            0.001981,            0.001981
                  83,             0.03342,            0.018643,                   0,             0.86333,             0.71228,             0.80965,             0.41242,             0.03947,            0.027041,                   0,            0.001882,            0.001882,            0.001882
                  84,            0.033452,            0.018543,                   0,             0.85554,             0.71739,             0.80926,             0.40993,            0.039661,            0.027066,                   0,            0.001783,            0.001783,            0.001783
                  85,            0.033023,             0.01861,                   0,             0.85819,             0.71469,             0.80819,             0.40954,            0.039678,            0.027159,                   0,            0.001684,            0.001684,            0.001684
                  86,            0.033178,            0.018473,                   0,              0.8675,             0.71292,             0.80808,             0.40893,            0.039662,            0.027225,                   0,            0.001585,            0.001585,            0.001585
                  87,            0.032739,            0.018113,                   0,             0.86556,             0.71456,             0.80945,             0.40996,            0.039641,            0.027299,                   0,            0.001486,            0.001486,            0.001486
                  88,            0.032343,             0.01814,                   0,             0.85951,              0.7174,             0.80866,             0.40947,             0.03948,            0.027374,                   0,            0.001387,            0.001387,            0.001387
                  89,            0.032523,            0.018327,                   0,             0.86015,             0.71856,             0.80972,             0.41151,            0.039189,            0.027382,                   0,            0.001288,            0.001288,            0.001288
                  90,            0.031965,            0.017998,                   0,             0.85964,             0.71824,              0.8098,             0.41152,            0.039069,            0.027431,                   0,            0.001189,            0.001189,            0.001189
                  91,            0.032214,            0.018131,                   0,             0.86479,             0.71704,             0.80983,             0.41488,            0.038956,            0.027421,                   0,             0.00109,             0.00109,             0.00109
                  92,            0.032114,            0.017963,                   0,             0.85978,             0.71946,             0.80956,             0.41417,            0.038967,            0.027433,                   0,            0.000991,            0.000991,            0.000991
                  93,            0.031262,            0.017912,                   0,             0.86199,             0.71798,             0.80833,             0.41104,             0.03909,            0.027585,                   0,            0.000892,            0.000892,            0.000892
                  94,            0.031608,            0.017968,                   0,             0.86089,             0.71985,             0.80652,             0.41052,            0.039076,            0.027649,                   0,            0.000793,            0.000793,            0.000793
                  95,            0.031294,            0.017593,                   0,              0.8604,             0.72023,             0.80647,             0.41093,            0.039126,            0.027723,                   0,            0.000694,            0.000694,            0.000694
                  96,            0.031448,            0.017781,                   0,             0.85982,             0.71928,              0.8061,             0.40965,            0.039252,            0.027796,                   0,            0.000595,            0.000595,            0.000595
                  97,            0.030833,            0.017664,                   0,             0.85948,             0.71688,             0.80595,             0.40972,            0.039436,            0.027909,                   0,            0.000496,            0.000496,            0.000496
                  98,            0.031097,            0.017779,                   0,             0.85981,             0.71528,             0.80469,             0.40818,            0.039636,            0.028012,                   0,            0.000397,            0.000397,            0.000397
                  99,            0.030808,             0.01753,                   0,             0.86162,             0.71334,              0.8036,             0.40692,            0.039816,             0.02808,                   0,            0.000298,            0.000298,            0.000298
