               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10383,            0.032606,                   0,             0.41122,             0.31289,              0.2708,            0.084261,            0.062889,            0.031041,                   0,            0.070061,           0.0033266,           0.0033266
                   1,            0.071428,            0.032906,                   0,             0.59984,             0.46289,             0.46695,             0.16766,             0.05497,            0.032071,                   0,            0.039995,            0.006594,            0.006594
                   2,            0.063208,            0.030547,                   0,             0.45577,             0.32075,             0.29729,            0.069726,             0.06228,             0.03235,                   0,           0.0098631,           0.0097954,           0.0097954
                   3,            0.062858,            0.029842,                   0,             0.76033,             0.54549,              0.6357,             0.26852,            0.048911,            0.029022,                   0,            0.009703,            0.009703,            0.009703
                   4,              0.0567,            0.028371,                   0,             0.75966,             0.56379,             0.63597,             0.25759,            0.050454,            0.027647,                   0,            0.009703,            0.009703,            0.009703
                   5,            0.054354,            0.027194,                   0,             0.78375,              0.5936,             0.67953,             0.30916,            0.046829,            0.027735,                   0,            0.009604,            0.009604,            0.009604
                   6,            0.051663,            0.026486,                   0,             0.67785,             0.45193,              0.4896,             0.15758,            0.056242,            0.027915,                   0,            0.009505,            0.009505,            0.009505
                   7,            0.050133,            0.025768,                   0,             0.81554,                 0.6,             0.70259,             0.31033,            0.045677,            0.026338,                   0,            0.009406,            0.009406,            0.009406
                   8,            0.049717,            0.025962,                   0,             0.80709,             0.62204,             0.71588,             0.33761,            0.044709,            0.026888,                   0,            0.009307,            0.009307,            0.009307
                   9,            0.048678,            0.025364,                   0,             0.84077,             0.62887,             0.73666,             0.34498,             0.04432,            0.026058,                   0,            0.009208,            0.009208,            0.009208
                  10,            0.047922,            0.024561,                   0,             0.82659,             0.63454,             0.75104,             0.39689,            0.041537,            0.026885,                   0,            0.009109,            0.009109,            0.009109
                  11,            0.047089,            0.024582,                   0,             0.85629,             0.65296,             0.77192,             0.43196,            0.040082,            0.025469,                   0,             0.00901,             0.00901,             0.00901
