               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10471,            0.033125,                   0,             0.45428,             0.33918,             0.30736,             0.10363,            0.062048,            0.031495,                   0,            0.070061,           0.0033266,           0.0033266
                   1,            0.072278,            0.033659,                   0,             0.61791,             0.47912,             0.50273,             0.18298,            0.054254,            0.030576,                   0,            0.039995,            0.006594,            0.006594
                   2,            0.064142,            0.030873,                   0,             0.59239,             0.45528,             0.47332,             0.14699,            0.055304,            0.031435,                   0,           0.0098631,           0.0097954,           0.0097954
                   3,            0.062879,            0.030029,                   0,             0.76407,             0.55425,             0.65098,              0.2869,            0.050109,            0.028513,                   0,            0.009703,            0.009703,            0.009703
                   4,            0.057787,            0.028863,                   0,              0.7816,             0.59265,             0.68916,             0.33625,            0.045941,            0.028048,                   0,            0.009703,            0.009703,            0.009703
                   5,            0.055671,            0.028123,                   0,             0.74776,             0.52358,              0.6119,              0.2352,            0.051167,            0.028469,                   0,            0.009604,            0.009604,            0.009604
                   6,            0.053063,            0.027281,                   0,             0.70704,             0.51302,             0.57616,             0.21273,            0.051925,             0.02766,                   0,            0.009505,            0.009505,            0.009505
                   7,            0.051442,            0.026638,                   0,             0.78662,             0.55361,              0.6534,              0.2731,            0.047896,            0.027863,                   0,            0.009406,            0.009406,            0.009406
                   8,             0.05128,            0.026637,                   0,             0.83249,             0.63148,             0.74123,             0.36089,            0.043388,            0.026336,                   0,            0.009307,            0.009307,            0.009307
                   9,            0.050261,            0.026219,                   0,             0.76004,             0.56482,             0.64685,             0.25742,            0.048129,            0.027294,                   0,            0.009208,            0.009208,            0.009208
                  10,            0.049402,            0.025348,                   0,             0.79494,             0.63763,             0.74343,             0.38609,            0.042194,            0.026835,                   0,            0.009109,            0.009109,            0.009109
                  11,            0.048134,            0.025225,                   0,             0.80525,              0.6366,             0.73898,             0.34782,            0.043277,            0.026075,                   0,             0.00901,             0.00901,             0.00901
