               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10777,            0.033333,                   0,             0.33638,             0.32887,             0.22699,            0.072215,            0.065086,             0.03405,                   0,            0.070061,           0.0033266,           0.0033266
                   1,            0.075831,            0.035249,                   0,             0.57918,             0.44034,             0.45954,             0.16968,            0.056624,            0.032863,                   0,            0.039995,            0.006594,            0.006594
                   2,            0.067286,            0.032914,                   0,              0.6858,             0.49504,             0.53807,             0.21069,            0.053704,            0.032963,                   0,           0.0098631,           0.0097954,           0.0097954
                   3,             0.06593,            0.032044,                   0,             0.67283,             0.50009,             0.55317,              0.2137,            0.052346,            0.030739,                   0,            0.009703,            0.009703,            0.009703
                   4,            0.060313,            0.030522,                   0,             0.75069,             0.53724,              0.6119,             0.28362,            0.048678,            0.031598,                   0,            0.009703,            0.009703,            0.009703
                   5,            0.058597,            0.029843,                   0,             0.75727,             0.57345,             0.65332,             0.28955,            0.047254,            0.029257,                   0,            0.009604,            0.009604,            0.009604
                   6,            0.056603,            0.029073,                   0,             0.76056,             0.56869,             0.64156,             0.25859,            0.049199,            0.029038,                   0,            0.009505,            0.009505,            0.009505
                   7,            0.055011,            0.028236,                   0,             0.77544,              0.6083,             0.70162,             0.31463,            0.045402,            0.027789,                   0,            0.009406,            0.009406,            0.009406
                   8,            0.054185,             0.02792,                   0,             0.75723,             0.58363,             0.66483,             0.27665,            0.047623,            0.028362,                   0,            0.009307,            0.009307,            0.009307
                   9,            0.053581,            0.028152,                   0,             0.79573,             0.60341,             0.71191,             0.34705,            0.044279,            0.027086,                   0,            0.009208,            0.009208,            0.009208
                  10,            0.052397,            0.026842,                   0,             0.79016,             0.61727,             0.72492,              0.3331,            0.045833,            0.027173,                   0,            0.009109,            0.009109,            0.009109
                  11,            0.050991,            0.026661,                   0,             0.83286,             0.61534,             0.73385,             0.34216,             0.04379,            0.026802,                   0,             0.00901,             0.00901,             0.00901
                  12,            0.050803,            0.026327,                   0,             0.78062,             0.60567,             0.69003,             0.27181,            0.046638,             0.02758,                   0,            0.008911,            0.008911,            0.008911
                  13,            0.049151,            0.025951,                   0,             0.79021,               0.575,             0.68146,             0.30592,            0.045762,            0.028866,                   0,            0.008812,            0.008812,            0.008812
                  14,             0.04936,            0.026458,                   0,             0.78221,             0.64304,             0.74297,             0.35487,            0.041735,             0.02672,                   0,            0.008713,            0.008713,            0.008713
                  15,             0.04958,            0.025947,                   0,             0.76228,             0.57474,              0.6727,             0.25349,            0.047614,            0.027701,                   0,            0.008614,            0.008614,            0.008614
                  16,            0.048396,            0.025442,                   0,             0.78307,             0.62891,             0.73085,             0.32499,            0.043594,            0.026938,                   0,            0.008515,            0.008515,            0.008515
                  17,            0.047761,            0.025401,                   0,             0.80496,             0.66263,             0.75964,             0.34929,            0.042734,            0.026188,                   0,            0.008416,            0.008416,            0.008416
                  18,            0.047916,            0.025006,                   0,             0.83659,              0.6192,             0.73404,             0.33885,             0.04357,            0.027901,                   0,            0.008317,            0.008317,            0.008317
                  19,            0.048516,            0.025477,                   0,             0.78919,             0.62023,             0.71612,             0.30374,            0.044733,            0.027432,                   0,            0.008218,            0.008218,            0.008218
                  20,            0.046522,            0.024969,                   0,             0.80905,             0.62953,             0.73222,             0.31918,            0.043342,            0.026938,                   0,            0.008119,            0.008119,            0.008119
                  21,            0.047285,            0.024823,                   0,             0.82619,             0.65528,             0.75995,             0.34257,            0.042104,            0.026318,                   0,             0.00802,             0.00802,             0.00802
                  22,            0.045853,            0.024508,                   0,             0.83287,             0.64795,             0.75767,             0.34892,            0.042118,            0.026544,                   0,            0.007921,            0.007921,            0.007921
                  23,            0.045145,            0.024168,                   0,              0.8212,             0.65052,             0.74906,             0.34166,            0.042054,            0.026701,                   0,            0.007822,            0.007822,            0.007822
                  24,            0.044991,            0.023796,                   0,             0.79046,             0.63235,             0.72149,             0.28546,            0.045733,            0.027644,                   0,            0.007723,            0.007723,            0.007723
                  25,            0.045253,            0.023932,                   0,             0.81426,             0.63969,              0.7309,             0.30751,            0.044437,            0.027348,                   0,            0.007624,            0.007624,            0.007624
                  26,            0.044719,            0.023933,                   0,             0.82009,             0.66559,             0.76539,             0.35347,             0.04147,            0.026065,                   0,            0.007525,            0.007525,            0.007525
                  27,            0.044348,            0.023661,                   0,             0.82249,             0.63724,             0.73924,             0.31622,            0.044011,            0.027341,                   0,            0.007426,            0.007426,            0.007426
                  28,            0.043626,            0.023482,                   0,             0.78933,             0.64601,             0.73306,             0.29411,            0.045318,             0.02663,                   0,            0.007327,            0.007327,            0.007327
                  29,            0.043359,            0.023075,                   0,             0.83371,             0.67899,             0.78107,             0.36221,            0.041318,            0.025795,                   0,            0.007228,            0.007228,            0.007228
                  30,            0.043938,            0.023129,                   0,             0.82955,             0.67606,             0.77896,             0.38038,             0.04184,            0.025689,                   0,            0.007129,            0.007129,            0.007129
                  31,            0.042835,            0.023245,                   0,             0.81458,             0.66559,              0.7583,             0.33864,            0.041525,            0.026615,                   0,             0.00703,             0.00703,             0.00703
                  32,            0.043769,            0.023359,                   0,             0.82737,             0.67951,             0.77612,             0.35396,            0.041379,            0.025669,                   0,            0.006931,            0.006931,            0.006931
                  33,            0.041668,            0.022593,                   0,             0.83468,             0.67862,             0.77385,             0.37238,            0.041812,            0.025971,                   0,            0.006832,            0.006832,            0.006832
                  34,            0.042664,            0.022923,                   0,             0.85155,               0.675,             0.78114,             0.37646,            0.041578,            0.026207,                   0,            0.006733,            0.006733,            0.006733
                  35,            0.042097,            0.022853,                   0,             0.83801,             0.68273,             0.78648,             0.41809,            0.039062,            0.025838,                   0,            0.006634,            0.006634,            0.006634
                  36,             0.04265,            0.022806,                   0,             0.83673,             0.68505,             0.78848,             0.37535,            0.040765,            0.025698,                   0,            0.006535,            0.006535,            0.006535
                  37,            0.041318,            0.022528,                   0,             0.84256,             0.69653,             0.79849,             0.39157,            0.040099,            0.025254,                   0,            0.006436,            0.006436,            0.006436
                  38,            0.040949,             0.02235,                   0,              0.8381,             0.68209,             0.78711,             0.37156,            0.041638,            0.025655,                   0,            0.006337,            0.006337,            0.006337
                  39,            0.041694,             0.02225,                   0,             0.83797,             0.67711,              0.7873,             0.37194,            0.041245,            0.025755,                   0,            0.006238,            0.006238,            0.006238
                  40,            0.041134,            0.022127,                   0,             0.85721,             0.69548,             0.80326,             0.40429,            0.038862,            0.025225,                   0,            0.006139,            0.006139,            0.006139
                  41,            0.041178,            0.022306,                   0,             0.82917,             0.69974,             0.79503,             0.37924,            0.041224,            0.025156,                   0,             0.00604,             0.00604,             0.00604
                  42,            0.040453,            0.022069,                   0,             0.83265,              0.6857,             0.78566,             0.37285,            0.040737,            0.025936,                   0,            0.005941,            0.005941,            0.005941
                  43,            0.039992,            0.022053,                   0,             0.82987,             0.68866,             0.79071,             0.36946,            0.041018,             0.02569,                   0,            0.005842,            0.005842,            0.005842
                  44,            0.040588,            0.022066,                   0,             0.83734,             0.68194,             0.78741,             0.38165,            0.040943,            0.025851,                   0,            0.005743,            0.005743,            0.005743
