               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10621,            0.033203,                   0,             0.41767,             0.32257,             0.27947,            0.089377,            0.062191,            0.032911,                   0,            0.070061,           0.0033266,           0.0033266
                   1,            0.073837,            0.034317,                   0,              0.2845,             0.21997,             0.14423,            0.031048,            0.069869,            0.029386,                   0,            0.039995,            0.006594,            0.006594
                   2,            0.065237,            0.031692,                   0,             0.59803,             0.43119,             0.44827,             0.12709,            0.058038,             0.03081,                   0,           0.0098631,           0.0097954,           0.0097954
                   3,            0.063501,            0.030521,                   0,             0.73916,             0.52268,             0.60443,              0.2467,            0.051158,            0.029481,                   0,            0.009703,            0.009703,            0.009703
                   4,            0.058449,            0.029506,                   0,             0.69756,              0.4799,              0.5377,             0.18193,            0.052977,            0.028696,                   0,            0.009703,            0.009703,            0.009703
                   5,            0.056071,            0.028549,                   0,             0.80506,             0.58119,             0.67911,             0.34022,             0.04554,            0.028469,                   0,            0.009604,            0.009604,            0.009604
                   6,            0.053947,            0.027784,                   0,             0.75004,             0.52629,              0.6042,             0.21214,            0.050735,            0.027859,                   0,            0.009505,            0.009505,            0.009505
                   7,            0.052588,            0.027201,                   0,             0.80967,             0.60296,             0.71605,             0.32842,            0.045197,            0.027082,                   0,            0.009406,            0.009406,            0.009406
                   8,            0.051671,            0.026778,                   0,             0.81959,             0.60503,             0.70445,             0.33454,            0.044455,             0.02803,                   0,            0.009307,            0.009307,            0.009307
                   9,            0.050864,            0.026481,                   0,             0.68302,             0.46482,             0.52136,             0.15978,            0.054737,             0.02919,                   0,            0.009208,            0.009208,            0.009208
                  10,            0.050004,            0.025671,                   0,             0.73425,             0.52839,             0.60524,             0.21297,            0.050723,            0.028003,                   0,            0.009109,            0.009109,            0.009109
                  11,            0.048954,            0.025751,                   0,             0.79307,             0.58196,             0.67337,             0.27194,            0.049624,             0.02706,                   0,             0.00901,             0.00901,             0.00901
                  12,            0.048771,            0.025239,                   0,             0.79612,             0.58824,             0.68693,             0.26614,            0.047078,            0.027239,                   0,            0.008911,            0.008911,            0.008911
                  13,            0.047375,            0.025158,                   0,             0.79919,             0.58196,             0.68575,             0.29416,            0.044367,             0.02893,                   0,            0.008812,            0.008812,            0.008812
                  14,            0.047455,            0.025516,                   0,             0.73491,             0.55541,             0.62436,             0.22996,            0.048783,            0.028146,                   0,            0.008713,            0.008713,            0.008713
                  15,            0.047476,            0.025083,                   0,             0.79171,             0.60258,              0.6957,             0.26805,            0.046409,            0.027384,                   0,            0.008614,            0.008614,            0.008614
                  16,            0.046209,            0.024344,                   0,             0.74639,              0.5727,             0.65619,              0.2397,            0.049035,            0.028327,                   0,            0.008515,            0.008515,            0.008515
                  17,             0.04583,             0.02447,                   0,             0.86362,             0.64845,             0.77364,              0.3533,            0.042313,            0.025835,                   0,            0.008416,            0.008416,            0.008416
                  18,            0.045642,            0.024002,                   0,             0.83955,             0.62436,             0.75043,             0.35749,            0.041727,            0.027506,                   0,            0.008317,            0.008317,            0.008317
                  19,            0.046396,            0.024431,                   0,             0.81942,              0.6567,             0.76444,             0.36476,            0.041636,            0.026074,                   0,            0.008218,            0.008218,            0.008218
                  20,            0.044816,            0.024304,                   0,             0.83478,             0.64678,             0.76313,             0.32696,             0.04375,            0.025663,                   0,            0.008119,            0.008119,            0.008119
                  21,            0.045316,            0.023946,                   0,             0.79239,             0.58579,             0.67997,             0.25007,            0.048232,            0.027438,                   0,             0.00802,             0.00802,             0.00802
                  22,            0.044047,            0.023469,                   0,             0.84512,             0.67281,             0.77907,             0.33604,            0.043107,            0.025619,                   0,            0.007921,            0.007921,            0.007921
                  23,            0.043266,            0.023446,                   0,             0.84606,             0.65322,             0.77406,             0.35072,            0.041296,            0.026203,                   0,            0.007822,            0.007822,            0.007822
                  24,            0.043289,             0.02301,                   0,             0.80672,             0.62268,             0.72463,             0.29825,            0.044909,            0.026452,                   0,            0.007723,            0.007723,            0.007723
                  25,            0.043466,            0.023071,                   0,             0.84778,             0.67693,              0.7897,             0.38825,            0.040156,            0.025422,                   0,            0.007624,            0.007624,            0.007624
