               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10676,            0.033367,                   0,             0.43897,             0.30206,             0.27793,            0.088372,            0.064423,             0.03189,                   0,            0.070061,           0.0033266,           0.0033266
                   1,             0.07359,            0.034404,                   0,             0.60254,             0.45889,             0.47995,             0.18571,             0.05481,            0.032088,                   0,            0.039995,            0.006594,            0.006594
                   2,            0.065275,            0.031828,                   0,             0.57628,             0.39059,             0.41406,             0.11336,            0.059027,            0.032083,                   0,           0.0098631,           0.0097954,           0.0097954
                   3,            0.063794,            0.030809,                   0,             0.68134,             0.47242,             0.53749,             0.21709,            0.053243,            0.030452,                   0,            0.009703,            0.009703,            0.009703
                   4,            0.058116,            0.029453,                   0,             0.80295,             0.58557,             0.68624,             0.31468,            0.047175,             0.02816,                   0,            0.009703,            0.009703,            0.009703
                   5,            0.056243,            0.028482,                   0,             0.80123,             0.58466,             0.68101,             0.30401,            0.045573,            0.028107,                   0,            0.009604,            0.009604,            0.009604
                   6,             0.05376,            0.027694,                   0,             0.66552,             0.47758,             0.52363,             0.16628,            0.054246,             0.02824,                   0,            0.009505,            0.009505,            0.009505
                   7,            0.052348,            0.027151,                   0,              0.7412,             0.52999,             0.61576,              0.2159,            0.051708,            0.027523,                   0,            0.009406,            0.009406,            0.009406
                   8,            0.052126,            0.026916,                   0,             0.83864,             0.62874,             0.74083,             0.36662,            0.041776,             0.02707,                   0,            0.009307,            0.009307,            0.009307
                   9,            0.051076,            0.026789,                   0,             0.81561,             0.62899,              0.7361,             0.34725,            0.042891,            0.026322,                   0,            0.009208,            0.009208,            0.009208
                  10,            0.050491,            0.025996,                   0,             0.73274,             0.53969,             0.61916,             0.25643,            0.050071,            0.029389,                   0,            0.009109,            0.009109,            0.009109
                  11,            0.049294,            0.025976,                   0,               0.807,             0.61426,             0.70489,             0.32953,            0.044968,            0.026509,                   0,             0.00901,             0.00901,             0.00901
                  12,            0.048764,            0.025493,                   0,             0.81248,             0.60359,             0.70425,             0.28995,            0.045711,            0.026738,                   0,            0.008911,            0.008911,            0.008911
                  13,            0.047116,            0.024999,                   0,             0.79537,             0.59871,             0.69975,             0.29006,            0.045645,            0.026634,                   0,            0.008812,            0.008812,            0.008812
                  14,            0.047119,            0.025254,                   0,             0.85436,              0.6634,             0.77484,             0.40572,             0.03953,            0.025565,                   0,            0.008713,            0.008713,            0.008713
                  15,            0.046998,            0.024753,                   0,             0.80423,             0.61211,             0.70723,             0.28603,            0.045894,            0.027051,                   0,            0.008614,            0.008614,            0.008614
                  16,             0.04572,            0.024181,                   0,             0.83598,             0.63157,             0.73845,             0.33423,            0.042752,            0.027087,                   0,            0.008515,            0.008515,            0.008515
                  17,             0.04586,            0.024528,                   0,             0.85109,              0.6577,             0.76744,             0.38482,            0.039574,            0.025918,                   0,            0.008416,            0.008416,            0.008416
                  18,              0.0457,            0.024129,                   0,             0.82275,             0.63226,             0.73288,             0.35082,            0.042372,            0.027186,                   0,            0.008317,            0.008317,            0.008317
                  19,             0.04667,            0.024566,                   0,              0.8188,              0.6009,              0.7062,             0.30629,            0.045144,            0.028069,                   0,            0.008218,            0.008218,            0.008218
                  20,            0.044735,            0.024268,                   0,             0.84146,             0.66907,             0.76692,             0.37145,            0.040588,            0.025829,                   0,            0.008119,            0.008119,            0.008119
                  21,            0.044898,            0.023712,                   0,             0.81577,             0.64317,               0.744,             0.32147,             0.04235,             0.02615,                   0,             0.00802,             0.00802,             0.00802
                  22,            0.043471,            0.023229,                   0,             0.85927,             0.68847,             0.80653,             0.43264,            0.037821,            0.025338,                   0,            0.007921,            0.007921,            0.007921
                  23,            0.043204,            0.023184,                   0,             0.85203,             0.67023,             0.78899,             0.39804,            0.039139,            0.025165,                   0,            0.007822,            0.007822,            0.007822
                  24,            0.043597,             0.02309,                   0,             0.85199,               0.678,             0.79326,             0.38982,            0.039117,            0.025429,                   0,            0.007723,            0.007723,            0.007723
                  25,            0.042847,            0.022942,                   0,             0.84971,             0.68705,             0.79595,             0.40361,            0.039097,            0.025159,                   0,            0.007624,            0.007624,            0.007624
                  26,            0.042712,            0.023158,                   0,             0.86506,             0.66534,             0.77985,             0.37389,            0.040097,            0.025983,                   0,            0.007525,            0.007525,            0.007525
                  27,            0.042518,            0.022565,                   0,             0.86327,              0.6942,             0.80399,             0.39258,            0.038569,             0.02532,                   0,            0.007426,            0.007426,            0.007426
                  28,            0.041698,            0.022561,                   0,             0.83155,              0.6527,              0.7456,             0.31592,             0.04321,            0.026861,                   0,            0.007327,            0.007327,            0.007327
                  29,            0.041952,            0.022347,                   0,             0.86635,             0.69613,             0.80695,             0.42062,            0.037877,            0.025294,                   0,            0.007228,            0.007228,            0.007228
                  30,             0.04228,            0.022308,                   0,             0.87217,             0.69588,             0.79924,             0.37609,            0.039725,            0.025297,                   0,            0.007129,            0.007129,            0.007129
                  31,            0.041216,            0.022495,                   0,             0.84822,             0.67335,             0.77918,             0.35012,            0.041917,            0.026357,                   0,             0.00703,             0.00703,             0.00703
                  32,            0.041784,             0.02235,                   0,             0.86781,             0.68209,             0.79887,             0.37817,             0.04068,            0.025447,                   0,            0.006931,            0.006931,            0.006931
                  33,            0.040339,            0.021858,                   0,             0.86054,             0.68402,             0.78873,             0.36225,            0.040834,            0.025688,                   0,            0.006832,            0.006832,            0.006832
                  34,            0.041408,            0.022255,                   0,             0.85469,             0.68441,             0.78831,             0.37314,            0.039615,            0.025457,                   0,            0.006733,            0.006733,            0.006733
                  35,            0.040216,            0.021766,                   0,             0.87217,             0.67967,             0.79483,             0.38635,            0.039748,            0.025788,                   0,            0.006634,            0.006634,            0.006634
                  36,            0.040715,            0.021912,                   0,             0.87138,             0.69162,             0.80854,             0.39448,            0.039844,            0.025278,                   0,            0.006535,            0.006535,            0.006535
                  37,            0.039243,            0.021512,                   0,             0.87337,             0.69613,             0.81203,             0.40795,            0.038628,            0.025183,                   0,            0.006436,            0.006436,            0.006436
