               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11081,            0.032959,                   0,             0.34871,             0.24858,             0.17684,            0.061512,            0.070186,            0.035198,                   0,            0.070061,           0.0033266,           0.0033266
                   1,            0.081617,            0.036049,                   0,             0.54362,              0.3393,             0.34676,             0.12731,            0.063851,            0.033557,                   0,            0.039995,            0.006594,            0.006594
                   2,            0.072281,            0.033794,                   0,             0.66031,              0.4134,             0.45156,             0.17617,            0.059803,            0.033161,                   0,           0.0098631,           0.0097954,           0.0097954
                   3,            0.071701,            0.033132,                   0,             0.68214,             0.40309,             0.45179,             0.17544,            0.061034,             0.03215,                   0,            0.009703,            0.009703,            0.009703
                   4,            0.066261,            0.032239,                   0,             0.75706,             0.44094,             0.51512,             0.22617,            0.055956,             0.03101,                   0,            0.009703,            0.009703,            0.009703
                   5,            0.064231,            0.031404,                   0,             0.75301,              0.4463,             0.51875,              0.2314,            0.056516,            0.030367,                   0,            0.009604,            0.009604,            0.009604
                   6,            0.062041,             0.03064,                   0,             0.81009,             0.47036,              0.5627,             0.27386,            0.053764,            0.030049,                   0,            0.009505,            0.009505,            0.009505
                   7,            0.060386,            0.030261,                   0,             0.78292,             0.48956,             0.58334,             0.31087,            0.050503,            0.030965,                   0,            0.009406,            0.009406,            0.009406
                   8,            0.059587,            0.030077,                   0,             0.78756,             0.49397,             0.58872,             0.29962,            0.050981,            0.029851,                   0,            0.009307,            0.009307,            0.009307
                   9,            0.058266,            0.029835,                   0,             0.79444,             0.46516,             0.56266,             0.25766,            0.052776,            0.029406,                   0,            0.009208,            0.009208,            0.009208
                  10,            0.056869,            0.028685,                   0,             0.80802,             0.52122,              0.6161,             0.32819,            0.048378,            0.029573,                   0,            0.009109,            0.009109,            0.009109
                  11,            0.056517,            0.028885,                   0,             0.78732,             0.47848,             0.55817,              0.2648,            0.053424,              0.0295,                   0,             0.00901,             0.00901,             0.00901
                  12,            0.056332,            0.028658,                   0,             0.75359,             0.49742,             0.57692,             0.23642,            0.055611,            0.029255,                   0,            0.008911,            0.008911,            0.008911
                  13,            0.055387,            0.028532,                   0,             0.80909,             0.47448,              0.5697,             0.25883,            0.055094,            0.028697,                   0,            0.008812,            0.008812,            0.008812
                  14,            0.055377,            0.028634,                   0,              0.8113,             0.52634,             0.62469,             0.32289,            0.049115,            0.028927,                   0,            0.008713,            0.008713,            0.008713
                  15,            0.054853,            0.028317,                   0,             0.80497,             0.51521,             0.62119,             0.31215,            0.048892,            0.029114,                   0,            0.008614,            0.008614,            0.008614
                  16,            0.053392,            0.027715,                   0,             0.79544,              0.5201,             0.61489,             0.28634,             0.05087,            0.029025,                   0,            0.008515,            0.008515,            0.008515
